iter	Logloss
0	0.6663360877
1	0.6453693603
2	0.6225290316
3	0.6020035205
4	0.583956314
5	0.5675901299
6	0.5529789785
7	0.5402228563
8	0.5288239916
9	0.5183060417
10	0.5077194247
11	0.4982333081
12	0.4897191955
13	0.4829435233
14	0.4760536716
15	0.4695337159
16	0.4643246909
17	0.4591849103
18	0.4543021888
19	0.449826825
20	0.44510123
21	0.4418260496
22	0.4381774268
23	0.4347133257
24	0.431924767
25	0.4286946962
26	0.426164495
27	0.4236370734
28	0.4213378632
29	0.418687678
30	0.4160911071
31	0.4128005263
32	0.4092829507
33	0.4071880544
34	0.4049234485
35	0.4029623
36	0.4009765886
37	0.3985887389
38	0.3971387678
39	0.395271894
40	0.3934437006
41	0.391774501
42	0.3899969194
43	0.3885914229
44	0.3880358462
45	0.3864373688
46	0.3850311012
47	0.3832464638
48	0.3814574634
49	0.3802583894
50	0.3785363142
51	0.3770430581
52	0.3758356713
53	0.3740322196
54	0.3729265403
55	0.371189825
56	0.3701544041
57	0.3690216261
58	0.3677847581
59	0.3656716864
60	0.3646219493
61	0.3631470467
62	0.3622119279
63	0.3614516854
64	0.3603910901
65	0.3588145843
66	0.3579132694
67	0.3568260183
68	0.3559269188
69	0.3549488192
70	0.3539187556
71	0.3527975438
72	0.3507909452
73	0.3499510748
74	0.3491293191
75	0.3481080004
76	0.3473842099
77	0.3463890594
78	0.3452206316
79	0.3441189613
80	0.3428640562
81	0.3418197884
82	0.3411114276
83	0.3405039037
84	0.3393215094
85	0.3384372923
86	0.337429729
87	0.3365717689
88	0.3354213408
89	0.3338759379
90	0.3327197653
91	0.3322006241
92	0.3312232974
93	0.3302702562
94	0.3292406869
95	0.3283078871
96	0.327131834
97	0.3264951265
98	0.3250504145
99	0.3243975515
100	0.323558108
101	0.32323121
102	0.3225898428
103	0.3218522206
104	0.3209059137
105	0.3197301517
106	0.318790638
107	0.3182098019
108	0.3172461026
109	0.3164939119
110	0.3157802977
111	0.3152647593
112	0.3144591897
113	0.3138731144
114	0.3130584443
115	0.3122899675
116	0.3113010669
117	0.3107735443
118	0.3098384484
119	0.3091518234
120	0.3085376627
121	0.3080366584
122	0.3070492738
123	0.3065317634
124	0.3059313699
125	0.3045497383
126	0.3039647868
127	0.3034841027
128	0.3029324807
129	0.3024211347
130	0.3015837634
131	0.3007368408
132	0.2999472537
133	0.2993497335
134	0.2987509461
135	0.2981483137
136	0.2976679534
137	0.2969998231
138	0.2956238081
139	0.2949354603
140	0.2943320898
141	0.2939279024
142	0.2933557208
143	0.2928943306
144	0.2923139964
145	0.2918249711
146	0.2910678817
147	0.2907294606
148	0.2898715232
149	0.2894174523
150	0.2890137174
151	0.2882814966
152	0.2878719751
153	0.2873342259
154	0.2865603706
155	0.2855897772
156	0.2850029413
157	0.284303891
158	0.2836252493
159	0.2830697885
160	0.282574787
161	0.2819494625
162	0.2814441651
163	0.2807603529
164	0.2801657891
165	0.2795426727
166	0.2792327586
167	0.2787766193
168	0.278333997
169	0.2778009788
170	0.2776188115
171	0.2772600696
172	0.2766337566
173	0.2762506091
174	0.2755681832
175	0.2750981013
176	0.2739366015
177	0.2734586726
178	0.2724396732
179	0.2720300715
180	0.2716668845
181	0.2712779336
182	0.2706958668
183	0.2697975733
184	0.2692803815
185	0.2684852261
186	0.2673068131
187	0.2665029533
188	0.2658792518
189	0.2651728739
190	0.2648641441
191	0.2644220596
192	0.2641286124
193	0.2635121429
194	0.2631245356
195	0.2625608811
196	0.2618411038
197	0.2614647858
198	0.2610425084
199	0.260409717
200	0.2603710519
201	0.2598247882
202	0.2593481918
203	0.2586395447
204	0.2581929846
205	0.2575748514
206	0.2566324098
207	0.2561433562
208	0.2555041353
209	0.2550797849
210	0.2550437735
211	0.2542371905
212	0.2535534175
213	0.2529408533
214	0.2525045408
215	0.2521419632
216	0.2507129942
217	0.2503668886
218	0.249762875
219	0.2492554782
220	0.2485609961
221	0.2479407863
222	0.2474850729
223	0.247029433
224	0.2465908675
225	0.2459659435
226	0.2454536963
227	0.2450687732
228	0.2442357788
229	0.2435144114
230	0.2429758643
231	0.2424971978
232	0.2418682651
233	0.2412929123
234	0.240957693
235	0.2401854644
236	0.2398061855
237	0.2392626301
238	0.2389603725
239	0.2387038682
240	0.2380470841
241	0.2374865248
242	0.2369035888
243	0.2364561803
244	0.23612375
245	0.2357401017
246	0.2347043201
247	0.234324955
248	0.2338431314
249	0.2333241723
250	0.2328833137
251	0.2323980775
252	0.2318383474
253	0.2314712252
254	0.2309387549
255	0.2304768986
256	0.2300856826
257	0.2285333721
258	0.2280060263
259	0.2276102914
260	0.2273622575
261	0.2270117381
262	0.2265685652
263	0.2262863601
264	0.2258011883
265	0.2253410623
266	0.2243714482
267	0.2238018882
268	0.2233193082
269	0.2228148216
270	0.2224926602
271	0.2219649929
272	0.2216653512
273	0.2210658728
274	0.2206752045
275	0.2203726782
276	0.2200238976
277	0.2197436071
278	0.2193727497
279	0.2189926825
280	0.2186950702
281	0.218352434
282	0.2181079519
283	0.217876959
284	0.2164788234
285	0.2150062371
286	0.2138190935
287	0.2133616425
288	0.2118924561
289	0.2114956711
290	0.2110690411
291	0.2106600484
292	0.2094679611
293	0.2081865316
294	0.20732351
295	0.2067635163
296	0.2056060942
297	0.2051949819
298	0.2048876522
299	0.2044827351
300	0.2034629233
301	0.2025840099
302	0.2023065724
303	0.2020105354
304	0.2017226781
305	0.2013579403
306	0.2010393289
307	0.2007190181
308	0.2003114454
309	0.2000604261
310	0.1997644569
311	0.19941298
312	0.1988544197
313	0.1984331356
314	0.1980090079
315	0.197636957
316	0.1971271499
317	0.1967681067
318	0.1964176117
319	0.1960327943
320	0.1957991009
321	0.1955766133
322	0.1953280893
323	0.1944438833
324	0.1942325611
325	0.1939385294
326	0.192776313
327	0.1923918005
328	0.1919472114
329	0.1916700018
330	0.190934604
331	0.190661711
332	0.1902329885
333	0.1898637056
334	0.1885843129
335	0.1883401277
336	0.1880150132
337	0.1877164365
338	0.1872636586
339	0.1867598652
340	0.1864155169
341	0.186213888
342	0.1857951789
343	0.1855305979
344	0.1852666868
345	0.1848206501
346	0.1844869304
347	0.1842609338
348	0.1840291506
349	0.1834413753
350	0.1828007542
351	0.1825031613
352	0.1822644299
353	0.1820244008
354	0.181687465
355	0.1812861956
356	0.1810103468
357	0.1807461178
358	0.1803801684
359	0.1801979821
360	0.1795384006
361	0.1787150362
362	0.1783459243
363	0.1780395882
364	0.1777664751
365	0.1774492384
366	0.1771726249
367	0.1768715017
368	0.1766019863
369	0.176211457
370	0.175930621
371	0.1755920388
372	0.1753367985
373	0.1749918441
374	0.1747509378
375	0.1743575182
376	0.1741496515
377	0.173916385
378	0.1737097628
379	0.1732361389
380	0.1730245415
381	0.1725750977
382	0.1723447627
383	0.1721674006
384	0.1716546543
385	0.1713838512
386	0.1711262495
387	0.1709878292
388	0.1707974031
389	0.1706469983
390	0.1702841815
391	0.16998943
392	0.1697339573
393	0.1693733469
394	0.1691413572
395	0.1687641803
396	0.1685031591
397	0.1683036423
398	0.1680618726
399	0.1677459546
400	0.1674232356
401	0.167100673
402	0.1666869366
403	0.1661762752
404	0.1658691289
405	0.165739223
406	0.165509361
407	0.1652448095
408	0.1649763685
409	0.1646995293
410	0.16440964
411	0.164062893
412	0.1639476654
413	0.1637653651
414	0.1635140895
415	0.1632646128
416	0.1630824555
417	0.1628861924
418	0.1626663834
419	0.1625139197
420	0.1623597952
421	0.1620520518
422	0.1616837264
423	0.1614979639
424	0.1611711555
425	0.1608609276
426	0.1607119993
427	0.1605533445
428	0.1602631722
429	0.1600569608
430	0.1598134255
431	0.1595349584
432	0.1592739591
433	0.1590991342
434	0.1587498521
435	0.1585032242
436	0.1582810265
437	0.1581226411
438	0.157961096
439	0.1578660899
440	0.1577361688
441	0.1575416782
442	0.157338786
443	0.1569407183
444	0.156712503
445	0.1563472154
446	0.1559681369
447	0.1557374359
448	0.1555454769
449	0.1552623964
450	0.1550764121
451	0.1548406911
452	0.1545467536
453	0.1543375542
454	0.1540507079
455	0.1538382485
456	0.1535629815
457	0.1533257943
458	0.1528900909
459	0.1526193608
460	0.1524449174
461	0.1522286991
462	0.152027846
463	0.151893833
464	0.1516764597
465	0.1514518581
466	0.151267401
467	0.1510799589
468	0.1509004516
469	0.1505902116
470	0.1503016181
471	0.1500506593
472	0.1497842699
473	0.149458015
474	0.1492018719
475	0.1490615684
476	0.1489084295
477	0.148693605
478	0.1485989715
479	0.1482972531
480	0.1481097535
481	0.1479335919
482	0.1477078428
483	0.147468667
484	0.1472478449
485	0.1469455404
486	0.1466035507
487	0.1464074757
488	0.1460673381
489	0.1458610586
490	0.1455531862
491	0.1454290743
492	0.1451430251
493	0.1450012576
494	0.1448069812
495	0.1446428782
496	0.144489443
497	0.1441567604
498	0.1439520294
499	0.1436341192
500	0.1434892586
501	0.1433170886
502	0.1431351766
503	0.1428782137
504	0.1425588294
505	0.1423434595
506	0.1422265126
507	0.142131556
508	0.1418547277
509	0.1416711266
510	0.1414172777
511	0.1412132657
512	0.1409671713
513	0.1407170469
514	0.1405813935
515	0.1403998353
516	0.1401334358
517	0.1398535569
518	0.1397660069
519	0.1395441712
520	0.1393211371
521	0.139171661
522	0.138975977
523	0.1387501821
524	0.1384651141
525	0.1383323772
526	0.1381203188
527	0.137897167
528	0.1376161694
529	0.1374742792
530	0.1373490935
531	0.1371104503
532	0.1369441249
533	0.1366960808
534	0.1364917378
535	0.136355094
536	0.1361625367
537	0.1360177307
538	0.1357700034
539	0.1355539512
540	0.1354700703
541	0.1352140272
542	0.1349685873
543	0.1348386767
544	0.1345241686
545	0.1343307258
546	0.1341539266
547	0.1339602872
548	0.1337300037
549	0.133563062
550	0.1333114267
551	0.1331874193
552	0.1330443417
553	0.132720818
554	0.1325088225
555	0.1322595676
556	0.1319991261
557	0.1318678576
558	0.1317106166
559	0.1315500097
560	0.131240515
561	0.1309635038
562	0.1308514285
563	0.1307105846
564	0.1304769161
565	0.1302558313
566	0.1301109782
567	0.1299566516
568	0.1297333111
569	0.1295564806
570	0.1294243707
571	0.1292480352
572	0.1290614205
573	0.1288863549
574	0.1287184346
575	0.128595085
576	0.1284615812
577	0.1282304139
578	0.1280348098
579	0.127817469
580	0.1277162479
581	0.1276302126
582	0.1275307039
583	0.1273831645
584	0.1271454262
585	0.1269313551
586	0.1267360105
587	0.1266072135
588	0.126411107
589	0.1262480432
590	0.126011363
591	0.1259082764
592	0.1256900797
593	0.1255535076
594	0.125423136
595	0.1252838781
596	0.1251269308
597	0.1249438543
598	0.1246683542
599	0.1245327835
600	0.124394424
601	0.1242985373
602	0.1241224904
603	0.1239333963
604	0.1237579845
605	0.1235584648
606	0.1234122817
607	0.1233280075
608	0.1232396149
609	0.123058842
610	0.1228421281
611	0.1227601249
612	0.1226035513
613	0.1224795945
614	0.1222787978
615	0.1220702701
616	0.1219188536
617	0.1217011829
618	0.1215847078
619	0.1213878785
620	0.1212318508
621	0.1210878543
622	0.1209307843
623	0.1207108257
624	0.120592671
625	0.1203576543
626	0.1202873198
627	0.1200388189
628	0.1199383062
629	0.119723385
630	0.1196006284
631	0.1194617175
632	0.1193458131
633	0.1192002125
634	0.1189941937
635	0.1188440051
636	0.1187490636
637	0.1186045465
638	0.1185027749
639	0.1183929284
640	0.1183162266
641	0.1181759762
642	0.1180456895
643	0.1179219145
644	0.1178183497
645	0.1175317798
646	0.1174330518
647	0.1172845521
648	0.1170759916
649	0.116934137
650	0.1168210649
651	0.1166600277
652	0.1164745042
653	0.1162330769
654	0.1161202064
655	0.1160298099
656	0.1158448191
657	0.1156860759
658	0.1155473375
659	0.1154020053
660	0.1152338217
661	0.1150945015
662	0.1149753525
663	0.1148103331
664	0.1146937816
665	0.1145557884
666	0.1144437464
667	0.1143011647
668	0.1142476052
669	0.114018702
670	0.1138261282
671	0.1136833816
672	0.1135541351
673	0.1134713005
674	0.113354795
675	0.1131764075
676	0.1130737767
677	0.1129763646
678	0.1128081595
679	0.1126697942
680	0.1124570339
681	0.1122672702
682	0.1121820604
683	0.1120234702
684	0.1119281687
685	0.1117563602
686	0.111627625
687	0.111488062
688	0.1113896301
689	0.1112466042
690	0.1111767504
691	0.1110450368
692	0.110926444
693	0.1107770945
694	0.1105927095
695	0.1104830429
696	0.1104017765
697	0.1102691445
698	0.1100937058
699	0.1100080956
700	0.1097947355
701	0.1097182293
702	0.1095217279
703	0.1093450588
704	0.1092199928
705	0.1090801053
706	0.1089350459
707	0.1088523572
708	0.1087563687
709	0.108564251
710	0.1084279701
711	0.1083434316
712	0.1082069206
713	0.1080391329
714	0.1079291892
715	0.1078276324
716	0.1076593811
717	0.1074348415
718	0.1072317702
719	0.10706169
720	0.1068568192
721	0.1067724537
722	0.106686281
723	0.1065827271
724	0.1064209564
725	0.1062159779
726	0.1061096594
727	0.10598562
728	0.1058670996
729	0.1057620005
730	0.105558512
731	0.1054040532
732	0.1052243628
733	0.1050370691
734	0.1049054732
735	0.1047678875
736	0.1046233918
737	0.1044823901
738	0.1043807571
